datetime,open,high,low,close,volume
2026-05-28T00:00:00+00:00,412.27,465.76,412.14,427.23,235531
2026-06-04T00:00:00+00:00,427.23,435.43,396.68,396.7,221915
2026-06-11T00:00:00+00:00,396.7,401.19,376.81,378.27,336160
2026-06-18T00:00:00+00:00,378.27,380.98,364.09,365.01,256825
2026-06-25T00:00:00+00:00,365.01,388.29,348.67,383.86,372253
2026-07-02T00:00:00+00:00,383.86,394.96,380.69,382.37,232837
2026-07-09T00:00:00+00:00,382.37,398.41,372.83,394.99,271661
2026-07-16T00:00:00+00:00,394.99,405.4,386.43,389.72,239520
2026-07-23T00:00:00+00:00,389.72,400.69,376.83,391.54,247554
2026-07-30T00:00:00+00:00,391.54,466.3,391.54,464.5,135774
